Person,Hand,Type,Time_sec,Handedness,Notes
One,Primary,Bean,8.15,left-handed,
One,Primary,Penny,8.99,left-handed,
One,Secondary,Penny,16.62,left-handed,
One,Secondary,Bean,8.27,left-handed,
Two,Secondary,Bean,12.59,right-handed,
Two,Primary,Bean,10.00,right-handed,
Two,Primary,Penny,20.00,right-handed,
Two,Secondary,Penny,30.51,right-handed,
Three,Primary,Bean,10.38,right-handed,
Three,Primary,Penny,14.70,right-handed,
Three,Secondary,Bean,13.43,right-handed,
Three,Secondary,Penny,64.00,right-handed,
Four,Primary,Bean,6.25,right-handed,
Four,Secondary,Bean,7.66,left-handed,
Four,Primary,Penny,8.70,right-handed,
Four,Secondary,Penny,22.73,left-handed,
Five,Primary,Bean,5.89,right-handed,
Five,Secondary,Bean,7.37,right-handed,
Five,Primary,Penny,11.28,right-handed,
Five,Secondary,Penny,16.79,right-handed,
Six,Primary,Bean,6.72,left-handed,
Six,Secondary,Bean,6.09,left-handed,
Six,Primary,Penny,9.48,left-handed,
Six,Secondary,Penny,10.28,left-handed,
Seven,Primary,Bean,7.22,right-handed,
Seven,Secondary,Bean,8.33,right-handed,
Seven,Primary,Penny,12.38,right-handed,
Seven,Secondary,Penny,15.27,right-handed,
Eight,Primary,Bean,7.13,right-handed,
Eight,Primary,Penny,11.00,right-handed,
Eight,Secondary,Bean,11.25,right-handed,
Eight,Secondary,Penny,11.79,right-handed,
Nine,Primary,Penny,13.05,right-handed,
Nine,Primary,Bean,5.87,right-handed,
Nine,Secondary,Penny,19.50,right-handed,
Nine,Secondary,Bean,8.62,right-handed,
Ten,Primary,Bean,16.53,right-handed,
Ten,Primary,Penny,10.26,right-handed,
Ten,Secondary,Bean,9.75,right-handed,
Ten,Secondary,Penny,13.53,right-handed,
Eleven,Primary,Penny,16.11,right-handed,
Eleven,Secondary,Bean,9.80,right-handed,
Eleven,Secondary,Penny,14.00,right-handed,
Eleven,Primary,Bean,7.03,right-handed,
Twelve,Secondary,Bean,15.17,right-handed,
Twelve,Primary,Penny,9.99,right-handed,
Twelve,Secondary,Bean,7.29,right-handed,
Twelve,Primary,Penny,6.21,right-handed,
Therteen ,Primary,Penny,12.50,right-handed,
Therteen ,Secondary,Penny,16.99,right-handed,
Therteen ,Primary,Beans,4.93,right-handed,
Therteen ,Secondary,Beans,10.11,right-handed,
Fourteen,Primary,Penny,19.04,right-handed,
Fourteen,Secondary,Penny,11.36,right-handed,
Fourteen,Primary,Beans,9.01,right-handed,
Fourteen,Secondary,Beans,6.18,right-handed,
Fifteen,Primary,Bean,15.52,right-handed,
Fifteen,Primary,Penny,20.20,right-handed,
Fifteen,Secondary,Bean,29.88,right-handed,
Fifteen,Secondary,Penny,44.38,right-handed,
Sixteen,Primary,Bean,8.52,right-handed,
Sixteen,Primary,Penny,22.30,right-handed,
Sixteen,Secondary,Bean,13.81,right-handed,
Sixteen,Secondary,Penny,45.21,right-handed,
Seventeen,Primary,Bean,9.88,right-handed,
Seventeen,Primary,Penny,18.61,right-handed,
Seventeen,Secondary,Bean,9.27,right-handed,
Seventeen,Secondary,Penny,19.66,right-handed,
Eighteen,Primary,Penny,7.76,right-handed,
Eighteen,Secondary,Bean,6.38,right-handed,
Eighteen,Secondary,Penny,9.11,right-handed,
Eighteen,Primary,Bean,4.70,right-handed,
Nineteen,Primary,Bean,7.16,left-handed,
Nineteen,Primary,Penny,13.67,left-handed,
Nineteen,Secondary,Bean,10.84,left-handed,
Nineteen,Secondary,Penny,18.43,left-handed,
Twenty,Primary,Penny,17.70,right-handed,
Twenty,Secondary,Penny,21.49,right-handed,
Twenty,Primary,Bean,7.73,right-handed,
Twenty,Secondary,Bean,11.28,right-handed,
Twentyone,Primary,Penny,39.86,right-handed,
Twentyone,Secondary,Penny,34.84,right-handed,
Twentyone,Primary,Bean,12.14,right-handed,
Twentyone,Secondary,Bean,13.61,right-handed,
Twentytwo,Primary,Bean,8.50,right-handed,Ambidextrous but write w/ right hand
Twentytwo,Primary,Penny,18.75,right-handed,Ambidextrous but write w/ right hand
Twentytwo,Secondary,Bean,8.16,right-handed,Ambidextrous but write w/ right hand
Twentytwo,Secondary,Penny,18.63,right-handed,Ambidextrous but write w/ right hand
Twentythree,Primary,Bean,9.26,right-handed,Used sunflower seeds instead of beans
Twentythree,Secondary,Penny,45.10,right-handed,Used sunflower seeds instead of beans
Twentythree,Secondary,Bean,7.29,right-handed,Used sunflower seeds instead of beans
Twentythree,Primary,Penny,12.39,right-handed,Used sunflower seeds instead of beans
"Twentyfour
",Primary,Penny,17.63,right-handed,
"Twentyfour
",Secondary,Penny,18.80,right-handed,
"Twentyfour
",Primary,Bean,6.27,right-handed,
"Twentyfour
",Secondary,Bean,6.92,right-handed,
Twentyfive,Secondary,Bean,9.15,right-handed,
Twentyfive,Primary,Bean,7.53,right-handed,
Twentyfive,Secondary,Penny,25.78,right-handed,
Twentyfive,Primary,Penny,11.74,right-handed,
Twentysix,Primary,Bean,9.25,right-handed,
Twentysix,Secondary,Bean,26.70,left-handed,
Twentysix,Primary,Penny,11.48,right-handed,
Twentysix,Secondary,Penny,45.93,left-handed,
Twentyseven,Primary,Bean,17.21,right-handed,
Twentyseven,Secondary,Bean,18.63,right-handed,
Twentyseven,Primary,Penny,10.84,right-handed,
Twentyseven,Secondary,Penny,10.00,right-handed,
