SiteCode,Plot,Competition,Rodents,Trt,Species,Fecundity,SeedSize_mg,Graminoid,Litterdepth,Year,numb,prec1,prod_m2
BM,289,-,+,-+,ACMI,1277,0.0884,40,13,Seedlings,58,0.045418951,476
BM,289,-,+,-+,ACMI,1277,0.0884,40,13,Adults_Y3,11,0.008613939,476
BM,289,-,+,-+,ANMI,1244,0.0441,40,13,Seedlings,1,0.000803565,476
BM,289,-,+,-+,ANMI,1244,0.0441,40,13,Adults_Y3,0,0,476
BM,289,-,+,-+,ARLU,4919,0.14,40,13,Seedlings,12,0.002439539,476
BM,289,-,+,-+,ARLU,4919,0.14,40,13,Adults_Y3,1,0.000203295,476
BM,289,-,+,-+,ARSO,59,0.752,40,13,Seedlings,0,0,476
BM,289,-,+,-+,ARSO,59,0.752,40,13,Adults_Y3,0,0,476
BM,289,-,+,-+,BASA,150,8.328,40,13,Seedlings,0,0,476
BM,289,-,+,-+,BASA,150,8.328,40,13,Adults_Y3,0,0,476
BM,289,-,+,-+,ERPU,6629,0.0689,40,13,Seedlings,39,0.005883356,476
BM,289,-,+,-+,ERPU,6629,0.0689,40,13,Adults_Y3,6,0.000905132,476
BM,289,-,+,-+,ERUM,494,2.164286,40,13,Seedlings,164,0.332198995,476
BM,289,-,+,-+,ERUM,494,2.164286,40,13,Adults_Y3,25,0.050640091,476
BM,289,-,+,-+,GAAR,230,3.92,40,13,Seedlings,4,0.017391304,476
BM,289,-,+,-+,GAAR,230,3.92,40,13,Adults_Y3,0,0,476
BM,289,-,+,-+,GETR,127,1.354558,40,13,Seedlings,3,0.023670054,476
BM,289,-,+,-+,GETR,127,1.354558,40,13,Adults_Y3,0,0,476
BM,289,-,+,-+,GEVI,36,8.68,40,13,Seedlings,1,0.028068784,476
BM,289,-,+,-+,GEVI,36,8.68,40,13,Adults_Y3,1,0.028068784,476
BM,289,-,+,-+,HEVI,5177,0.581626,40,13,Seedlings,88,0.016997743,476
BM,289,-,+,-+,HEVI,5177,0.581626,40,13,Adults_Y3,1,0.000193156,476
BM,289,-,+,-+,LIRU,138,31.084,40,13,Seedlings,1,0.007246377,476
BM,289,-,+,-+,LIRU,138,31.084,40,13,Adults_Y3,2,0.014492754,476
BM,289,-,+,-+,LOTR,37,3.652,40,13,Seedlings,1,0.026785714,476
BM,289,-,+,-+,LOTR,37,3.652,40,13,Adults_Y3,0,0,476
BM,289,-,+,-+,LUSE,78,20.92,40,13,Seedlings,2,0.025641026,476
BM,289,-,+,-+,LUSE,78,20.92,40,13,Adults_Y3,0,0,476
BM,289,-,+,-+,PEPR,926,0.046,40,13,Seedlings,1,0.001079501,476
