field,leaf,mite_per,mine_per,original_area,area_after_herb,area_consumed,per_area_consumed,leaf_mass,SLA,tot_per_herb,tot_area_consumed,mass_consumed
1,1,4,0,10.626,9.499,1.127,10.606,0.0918,103.475,14.606,1.55203356,0.014999124
1,2,8,0,10.983,10.983,0,0,0.086,127.709,8,0.87864,0.00688
1,3,1,0,5.686,5.686,0,0,0.0503,113.041,1,0.05686,5.03E-04
1,4,10,0,11.493,11.493,0,0,0.0876,131.199,10,1.1493,0.00876
1,5,7,1,7.719,7.243,0.476,6.167,0.0811,89.309,14.167,1.09355073,0.012244507
1,6,15,0,6.305,5.925,0.38,6.027,0.048,123.438,21.027,1.32575235,0.010740272
1,7,20,0,9.189,9.186,0,0,0.0731,125.663,20,1.8378,0.014624775
1,8,12,0,9.522,9.028,0.494,5.188,0.0899,100.423,17.188,1.63664136,0.016297525
1,9,15,0,4.096,3.5,0.596,14.551,0.0298,117.45,29.551,1.21040896,0.010305768
1,10,10,0,14.529,14.451,0.078,0.537,0.1369,105.559,10.537,1.53092073,0.014503013
1,11,4,0,11.624,11.232,0.392,3.372,0.0866,129.7,7.372,0.85692128,0.006606961
1,12,5,0,7.968,7.822,0.146,1.832,0.058,134.862,6.832,0.54437376,0.004036522
1,13,6,0,12.635,7.468,5.167,40.894,0.0747,99.973,46.894,5.9250569,0.059266437
1,14,7,0,11.358,9.895,1.463,12.881,0.101,97.97,19.881,2.25808398,0.023048659
1,15,5,3,8.226,8.226,0,0,0.0551,149.292,8,0.65808,0.004408
1,16,8,0,10.43,10.43,0,0,0.0854,122.131,8,0.8344,0.006832
1,17,2,0,8.203,7.754,0.449,5.474,0.0667,116.252,7.474,0.61309222,0.005273827
1,18,9,1,7.851,7.839,0.012,0.153,0.0569,137.768,10.153,0.79711203,0.005785901
1,19,4,0,7.968,7.949,0.019,0.238,0.0542,146.661,4.238,0.33768384,0.002302486
1,20,7,1,8.137,8.13,0.007,0.086,0.0599,135.726,8.086,0.65795782,0.004847684
1,21,17,0,6.965,6.965,0,0,0.0687,101.383,17,1.18405,0.011679
1,22,15,0,6.847,6.847,0,0,0.0616,111.153,15,1.02705,0.00924
1,23,12,0,6.297,6.297,0,0,0.0596,105.654,12,0.75564,0.007152
1,24,15,0,9.926,9.926,0,0,0.0856,115.958,15,1.4889,0.01284
1,25,18,0,6.472,6.472,0,0,0.0529,122.344,18,1.16496,0.009522
1,26,5,0,13.914,13.907,0.007,0.05,0.1386,100.339,5.05,0.702657,0.007002823
1,27,7,0,8.155,8.127,0.028,0.343,0.0564,144.096,7.343,0.59882165,0.004155721
1,28,10,0,6.054,5.381,0.673,11.117,0.0624,86.234,21.117,1.27842318,0.014825052
1,29,15,0,5.165,5.08,0.085,1.646,0.0336,151.19,16.646,0.8597659,0.005686641
1,30,3,0,8.314,8.293,0.021,0.253,0.0553,149.964,3.253,0.27045442,0.001803464
1,31,4,0,11.276,11.276,0,0,0.0891,126.554,4,0.45104,0.003564
1,32,6,0,6.743,6.516,0.227,3.366,0.0551,118.258,9.366,0.63154938,0.00534045
1,33,20,0,11.81,11.579,0.231,1.956,0.1128,102.651,21.956,2.5930036,0.025260455
1,34,15,0,7.909,7.906,0.003,0.038,0.065,121.631,15.038,1.18935542,0.009778409
1,35,8,4,8.351,8.351,0,0,0.0557,149.928,12,1.00212,0.006684
1,36,20,3,9.863,9.321,0.542,5.495,0.0895,104.145,28.495,2.81046185,0.026985982
1,37,35,0,6.864,6.647,0.217,3.161,0.0741,89.703,38.161,2.61937104,0.02920045
1,38,4,0,15.51,15.51,0,0,0.1122,138.235,4,0.6204,0.004488
1,39,5,0,7.516,7.516,0,0,0.0548,137.153,5,0.3758,0.00274
1,40,10,10,11.603,11.603,0,0,0.1086,106.842,20,2.3206,0.02172
1,41,3,0,13.137,13.137,0,0,0.121,108.57,3,0.39411,0.00363
1,42,1,0,14.383,14.385,0,0,0.1052,136.74,1,0.14383,0.001051854
1,43,7,0,8.411,8.411,0,0,0.0586,143.532,7,0.58877,0.004102
1,44,12,2,11.982,11.921,0.061,0.509,0.1102,108.176,14.509,1.73846838,0.016070734
1,45,20,1,9.756,9.447,0.309,3.167,0.091,103.813,24.167,2.35773252,0.022711301
1,46,15,0,14.554,14.454,0.1,0.687,0.133,108.677,15.687,2.28308598,0.021008056
1,47,5,0,16.46,16.46,0,0,0.1365,120.586,5,0.823,0.006825
1,48,7,0,12.445,12.445,0,0,0.1315,94.639,7,0.87115,0.009205
1,49,7,0,10.013,10.013,0,0,0.0792,126.427,7,0.70091,0.005544
1,50,1,0,11.956,11.956,0,0,0.0912,131.096,1,0.11956,9.12E-04
1,51,12,0,10.018,10.018,0,0,0.0816,122.77,12,1.20216,0.009792
1,52,8,0,7.79,7.79,0,0,0.0638,122.1,8,0.6232,0.005104
1,53,13,0,13.559,12.4,1.159,8.548,0.1225,101.224,21.548,2.92169332,0.028863503
1,54,1,0,12.879,11.279,1.6,12.423,0.102,110.578,13.423,1.72874817,0.015633683
1,55,15,6,8.314,8.215,0.099,1.191,0.0811,101.295,22.191,1.84495974,0.018213784
1,56,7,0,8.777,8.773,0.004,0.046,0.0677,129.586,7.046,0.61842742,0.004772317
1,57,11,0,4.623,4.623,0,0,0.0345,134,11,0.50853,0.003795
1,58,20,0,6.608,6.311,0.297,4.495,0.0672,93.914,24.495,1.6186296,0.017235289
1,59,10,15,5.633,5.633,0,0,0.0391,144.066,25,1.40825,0.009775
1,60,1,0,5.519,5.159,0.4,7.248,0.0397,129.95,8.248,0.45520712,0.003502951
1,61,12,0,8.054,7.844,0.21,2.607,0.0541,144.991,14.607,1.17644778,0.00811395
1,62,15,0,10.371,10.328,0.043,0.415,0.0973,106.146,15.415,1.59868965,0.015061242
1,63,8,0,6.871,6.871,0,0,0.0696,98.721,8,0.54968,0.005568
1,64,4,0,12.431,11.68,0.751,6.041,0.1179,99.067,10.041,1.24819671,0.01259952
1,65,5,0,8.414,8.329,0.085,1.01,0.0686,121.414,6.01,0.5056814,0.004164935
1,66,1,0,6.293,6.293,0,0,0.0458,137.402,1,0.06293,4.58E-04
1,67,20,0,8.518,8.518,0,0,0.0608,140.099,20,1.7036,0.01216
1,68,3,0,9.579,9.579,0,0,0.0663,144.48,3,0.28737,0.001989
1,69,12,0,8.464,8.155,0.309,3.651,0.0625,130.48,15.651,1.32470064,0.010152519
1,70,15,4,15.977,15.977,0,0,0.1335,119.678,19,3.03563,0.025365
1,71,15,6,14.033,13.814,0.219,1.561,0.1228,112.492,22.561,3.16598513,0.028144127
1,72,5,0,7.657,7.657,0,0,0.0714,107.241,5,0.38285,0.00357
1,73,3,4,7.789,7.789,0,0,0.0719,108.331,7,0.54523,0.005033
1,74,8,8,6.165,5.747,0.418,6.78,0.0507,113.353,22.78,1.404387,0.012389494
1,75,6,0,6.437,6.437,0,0,0.0503,127.972,6,0.38622,0.003018
1,76,5,0,6.562,6.562,0,0,0.0549,119.526,5,0.3281,0.002745
1,77,25,0,4.865,4.803,0.062,1.274,0.0458,104.869,26.274,1.2782301,0.012188828
1,78,6,0,8.786,8.786,0,0,0.0767,114.55,6,0.52716,0.004602
1,79,6,0,10.204,10.2,0.004,0.039,0.0882,115.646,6.039,0.61621956,0.005328487
1,80,7,0,16.192,16.189,0.003,0.019,0.1293,125.205,7.019,1.13651648,0.009077249
1,81,10,0,15.745,15.712,0.033,0.21,0.1221,128.681,10.21,1.6075645,0.012492593
1,82,8,0,8.946,8.924,0.022,0.246,0.0588,151.769,8.246,0.73768716,0.004860601
1,83,15,1,6.628,6.614,0.014,0.211,0.0542,122.03,16.211,1.07446508,0.00880496
1,84,10,0,6.963,6.961,0.002,0.029,0.0549,126.794,10.029,0.69831927,0.005507503
1,85,0,1,6.281,6.111,0.17,2.707,0.0613,99.69,3.707,0.23283667,0.002335606
1,86,10,0,6.683,6.681,0.002,0.03,0.0588,113.622,10.03,0.6703049,0.005899405
1,87,8,3,8.716,8.713,0.003,0.034,0.0744,117.11,11.034,0.96172344,0.008212123
1,88,40,0,15.838,15.619,0.219,1.383,0.1273,122.694,41.383,6.55423954,0.053419213
1,89,2,2,18.735,17.727,1.008,5.38,0.1133,156.461,9.38,1.757343,0.011231848
1,90,5,0,9.473,9.421,0.052,0.549,0.0727,129.587,5.549,0.52565677,0.00405639
1,91,4,1,15.965,15.959,0.006,0.038,0.1201,132.881,5.038,0.8043167,0.006052913
1,92,8,0,14.651,14.648,0.003,0.02,0.1138,128.717,8.02,1.1750102,0.009128629
1,93,13,0,7.863,7.859,0.004,0.051,0.0545,144.202,13.051,1.02620013,0.007116415
1,94,15,0,11.786,11.716,0.07,0.597,0.1065,110.009,15.597,1.83826242,0.01671005
1,95,6,0,6.171,6.17,0.001,0.017,0.0479,128.81,6.017,0.37130907,0.00288261
1,96,15,0,7.807,7.806,0.001,0.013,0.0677,115.303,15.013,1.17206491,0.010165103
1,97,8,0,5.679,5.609,0.07,1.233,0.0455,123.275,9.233,0.52434207,0.004253443
1,98,30,4,8.827,8.692,0.135,1.529,0.0825,105.358,35.529,3.13614483,0.029766676
1,99,10,1,9.882,9.545,0.337,3.41,0.0693,137.734,14.41,1.4239962,0.010338705
1,100,15,0,7.339,7.34,0,0,0.0633,115.956,15,1.10085,0.009493706
1,101,2,0,5.106,4.861,0.245,4.798,0.0352,138.097,6.798,0.34710588,0.002513501
1,102,3,1,7.208,7.136,0.072,0.999,0.0534,133.633,4.999,0.36032792,0.0026964
2,1,15,0,5.863,5.893,0,0,0.0531,110.979,15,0.87945,0.007924452
2,2,10,0,5.007,5.017,0,0,0.0569,88.172,10,0.5007,0.005678659
2,3,7,0,4.095,4.108,0,0,0.0426,96.432,7,0.28665,0.002972563
2,4,2,0,7.643,7.66,0,0,0.0878,87.244,2,0.15286,0.001752103
2,5,65,0,4.239,4.239,0,0,0.0337,125.786,65,2.75535,0.021905
2,6,0,0,4.909,3.82,1.089,22.184,0.0328,116.463,22.184,1.08901256,0.009350684
2,7,10,0,7.802,7.692,0.11,1.41,0.081,94.963,11.41,0.8902082,0.009374267
2,8,5,0,13.472,13.498,0,0,0.1327,101.718,5,0.6736,0.00662222
2,9,0,0,4.258,4.038,0.22,5.167,0.0342,118.07,5.167,0.22001086,0.001863391
2,10,9,0,12.537,8.178,4.359,34.769,0.0614,133.192,43.769,5.48731953,0.041198511
2,11,2,0,9.886,9.398,0.488,4.936,0.097,96.887,6.936,0.68569296,0.007077274
2,12,0,0,13.588,13.587,0.001,0.007,0.1271,106.9,0.007,9.51E-04,8.90E-06
2,13,4,0,7.324,6.185,1.139,15.552,0.0691,89.508,19.552,1.43198848,0.015998448
2,14,0,0,6.338,4.906,1.432,22.594,0.0484,101.363,22.594,1.43200772,0.01412743
2,15,20,0,6.021,5.705,0.316,5.248,0.053,107.642,25.248,1.52018208,0.014122638
2,16,7,0,7.917,6.464,1.453,18.353,0.065,99.446,25.353,2.00719701,0.020183757
2,17,8,0,3.195,2.856,0.339,10.61,0.0285,100.211,18.61,0.5945895,0.005933404
2,18,2,0,9.417,8.318,1.099,11.67,0.1013,82.113,13.67,1.2873039,0.015677312
2,19,20,0,3.005,3.005,0,0,0.032,93.906,20,0.601,0.0064
2,20,45,0,5.485,5.371,0.114,2.078,0.05,107.42,47.078,2.5822283,0.024038618
2,21,2,0,11.418,8.347,3.071,26.897,0.0894,93.367,28.897,3.29945946,0.035338646
2,22,0,0,6.489,6.489,0,0,0.055,117.982,0,0,0
2,23,0,0,2.843,1.176,1.667,58.389,0.0099,118.788,58.389,1.65999927,0.013974484
2,24,35,0,6.411,5.273,1.138,17.751,0.0474,111.245,52.751,3.38186661,0.030400242
2,25,5,0,4.379,4.031,0.348,7.947,0.0373,108.07,12.947,0.56694913,0.005246143
2,26,0,0,10.497,6.946,3.551,33.829,0.0645,107.69,33.829,3.55103013,0.032974582
2,27,10,0,8.198,7.153,1.045,12.747,0.0554,129.116,22.747,1.86479906,0.014442873
2,28,4,0,12.431,7.397,5.034,40.496,0.0664,111.401,44.496,5.53129776,0.049652315
2,29,1,0,7.801,5.754,2.047,26.24,0.0535,107.551,27.24,2.1249924,0.019757924
2,30,15,0,6.56,6.56,0,0,0.053,125.472,15,0.984,0.00795
2,31,0,0,5.876,5.876,0,0,0.0679,86.539,0,0,0
2,32,9,0,4.343,4.343,0,0,0.0449,96.726,9,0.39087,0.004041
2,33,0,0,2.642,1.731,0.911,34.481,0.018,96.167,34.481,0.91098802,0.009473012
2,34,15,0,4.312,4.312,0,0,0.0445,96.899,15,0.6468,0.006675
2,35,0,0,12.907,12.676,0.231,1.79,0.1318,96.176,1.79,0.2310353,0.002402213
2,36,4,0,8.818,8.818,0,0,0.1071,82.334,4,0.35272,0.004284
2,37,2,0,4.565,4.231,0.334,7.317,0.0389,108.766,9.317,0.42532105,0.00391042
2,38,4,0,5.387,5.18,0.207,3.843,0.0559,92.665,7.843,0.42250241,0.004559437
2,39,0,0,3.218,2.16,1.058,32.878,0.0191,113.089,32.878,1.05801404,0.009355587
2,40,3,0,5.18,5.18,0,0,0.0368,140.761,3,0.1554,0.001104
2,41,0,15,4.293,4.293,0,0,0.0369,116.341,15,0.64395,0.005535
2,42,4,0,6.088,6.088,0,0,0.0652,93.374,4,0.24352,0.002608
2,43,0,10,3.751,3.627,0.124,3.306,0.0364,99.643,13.306,0.49910806,0.00500897
2,44,10,0,3.012,3.012,0,0,0.0348,86.552,10,0.3012,0.00348
2,45,20,5,9.077,8.799,0.278,3.063,0.0806,109.169,28.063,2.54727851,0.023333407
