Site,Species,Seed_loss_percent,SeedSize_mg_log10
KL,PEPR,NA,-1.301029996
CW,PEPR,NA,-1.301029996
KL,GEVI,1,0.938519725
CN,LOTR,1,0.562292864
BN,LOTR,1,0.562292864
PE,ZIVE,1,0.139879086
DR,LUSE,1,1.32056168
DR,LUSE,1,1.32056168
DR,LUSE,1,1.32056168
DR,LUSE,1,1.32056168
DR,LUSE,1,1.32056168
DR,GEVI,1,0.938519725
DR,GEVI,1,0.938519725
BM,GEVI,1,0.938519725
BM,GEVI,1,0.938519725
BM,GEVI,1,0.938519725
BM,GEVI,1,0.938519725
CN,GEVI,1,0.938519725
CN,GEVI,1,0.938519725
CN,GEVI,1,0.938519725
DR,LUSE,0.967741935,1.32056168
CW,GEVI,0.96,0.938519725
DR,GEVI,0.96,0.938519725
BF,LOTR,0.948717949,0.562292864
NH,BASA,0.94,0.920645001
BF,GEVI,0.933333333,0.938519725
DR,ZIVE,0.933333333,0.139879086
BP,ZIVE,0.933333333,0.139879086
DR,GEVI,0.932,0.938519725
CN,GEVI,0.932,0.938519725
BN,GEVI,0.92,0.938519725
BU,GEVI,0.92,0.938519725
CN,GEVI,0.92,0.938519725
KL,GEVI,0.909090909,0.938519725
DR,LUSE,0.909090909,1.32056168
BF,GEVI,0.9,0.938519725
BF,GEVI,0.9,0.938519725
CN,GEVI,0.9,0.938519725
CN,GEVI,0.9,0.938519725
DR,LUSE,0.888888889,1.32056168
DR,LUSE,0.882352941,1.32056168
NH,BASA,0.870588235,0.920645001
BP,ZIVE,0.866666667,0.139879086
DR,LUSE,0.857142857,1.32056168
BN,LOTR,0.855072464,0.562292864
BF,GEVI,0.85,0.938519725
BU,GEVI,0.85,0.938519725
CN,GEVI,0.85,0.938519725
CW,LOTR,0.848101266,0.562292864
KL,ERUM,0.846153846,0.334453751
NH,BASA,0.843373494,0.920645001
DR,LUSE,0.842105263,1.32056168
DR,LUSE,0.837837838,1.32056168
KL,GEVI,0.833333333,0.938519725
CN,GEVI,0.832,0.938519725
DR,LUSE,0.823529412,1.32056168
DR,LUSE,0.821428571,1.32056168
CN,LOTR,0.818181818,0.562292864
CW,LOTR,0.802816901,0.562292864
BF,GEVI,0.8,0.938519725
BF,GEVI,0.8,0.938519725
BP,ZIVE,0.8,0.139879086
CN,ERUM,0.8,0.334453751
DR,GEVI,0.8,0.938519725
DR,GEVI,0.8,0.938519725
DR,GEVI,0.8,0.938519725
BU,GEVI,0.8,0.938519725
BM,GEVI,0.8,0.938519725
BM,GEVI,0.8,0.938519725
BM,GEVI,0.8,0.938519725
CN,GEVI,0.8,0.938519725
CN,GEVI,0.8,0.938519725
BN,HEVI,0.794117647,-0.236572006
DR,LUSE,0.793103448,1.32056168
BM,GEVI,0.782,0.938519725
NH,BASA,0.769230769,0.920645001
KL,GEVI,0.76,0.938519725
DR,GEVI,0.76,0.938519725
CN,GEVI,0.76,0.938519725
DR,LUSE,0.75862069,1.32056168
DR,GEVI,0.75,0.938519725
BU,GEVI,0.75,0.938519725
BU,GEVI,0.75,0.938519725
BM,GEVI,0.75,0.938519725
NH,BASA,0.746478873,0.920645001
BF,LOTR,0.739130435,0.562292864
NH,BASA,0.736842105,0.920645001
MS,BASA,0.733333333,0.920645001
BP,ZIVE,0.733333333,0.139879086
BP,ZIVE,0.733333333,0.139879086
DR,GEVI,0.732,0.938519725
