use,Year,Pop,Plant,Damage1,Damage2,Damage3,Damage4,Damage5,LHB,CLB_L,CLB_A
0,2016,Cor,1,0,0,0,0,,0,0,0
0,2016,Cor,2,0,0,0,10,,0,0,0
0,2016,Cor,3,0,0,0,0,,0,0,0
0,2016,Cor,4,0,10,5,0,,0,0,0
0,2016,Cor,5,0,0,0,0,,0,0,4
0,2016,Cor,6,0,0,0,0,,0,0,0
0,2016,Met,1,2,0,0,0,,0,0,0
0,2016,Met,2,0,0,0,0,,0,0,0
0,2016,Met,3,0,0,0,0,,0,0,0
0,2016,Met,4,0,0,0,0,,0,0,0
0,2016,Met,5,0,0,0,0,,0,0,0
0,2016,Met,6,0,0,0,0,,0,0,0
0,2016,Met,7,0,0,0,0,,0,0,0
0,2016,Met,8,0,0,0,0,,0,0,0
0,2016,Met,9,0,0,0,0,,0,0,0
0,2016,Met,10,0,0,0,0,,0,0,0
0,2016,Ham,1,0,0,0,0,,0,0,0
0,2016,Ham,2,0,0,0,0,,0,0,0
0,2016,Ham,3,0,0,0,0,,0,0,0
0,2016,Ham,4,0,0,0,0,,0,0,0
0,2016,Ham,5,0,0,0,0,,0,0,0
0,2016,Ham,6,0,0,0,0,,0,0,0
0,2016,Ham,7,0,0,0,0,,0,0,0
0,2016,Ham,8,0,0,0,0,,0,0,0
0,2016,Ham,9,0,0,0,0,,0,0,0
0,2016,Ham,10,0,0,0,0,,0,0,0
0,2016,Mas,1,0,0,0,0,,0,0,0
0,2016,Mas,2,0,0,0,0,,1,0,0
0,2016,Mas,3,0,0,0,0,,0,0,0
0,2016,Mas,4,0,0,0,0,,0,0,0
0,2016,Mas,5,0,0,0,0,,1,0,0
0,2016,Mas,6,0,0,0,0,,0,0,0
0,2016,Mas,7,0,0,0,0,,0,0,0
0,2016,Mas,8,0,0,0,0,,0,0,0
0,2016,Mas,9,0,0,0,0,,0,0,0
0,2016,Mas,10,0,0,0,0,,0,0,0
0,2016,Plo,1,0,0,0,0,,0,0,0
0,2016,Plo,2,0,0,0,0,,0,0,0
0,2016,Plo,3,0,0,0,0,,0,0,0
0,2016,Plo,4,0,0,0,0,,0,0,0
0,2016,Plo,5,0,0,0,0,,0,0,0
0,2016,Plo,6,0,0,0,0,,0,0,0
0,2016,Plo,7,0,0,0,0,,0,0,0
0,2016,Plo,8,0,0,0,0,,0,0,0
0,2016,Plo,9,0,0,0,0,,0,0,0
0,2016,Plo,10,0,0,0,0,,0,0,0
0,2016,Blu,1,0,0,0,0,,0,0,0
0,2016,Blu,2,0,0,0,0,,0,0,0
0,2016,Blu,3,0,0,0,0,,0,0,0
0,2016,Blu,4,0,0,0,0,,0,0,0
0,2016,Blu,5,0,0,0,0,,0,0,0
0,2016,Blu,6,0,0,0,0,,0,0,0
0,2016,Blu,7,0,0,0,0,,0,0,0
0,2016,Blu,8,0,0,0,0,,0,0,0
0,2016,Blu,9,0,0,0,0,,0,0,0
0,2016,Blu,10,0,0,0,0,,0,0,0
0,2016,Tap,1,0,0,0,0,,0,0,0
0,2016,Tap,2,0,0,0,0,,0,0,0
0,2016,Tap,3,0,0,0,0,,0,0,0
0,2016,Tap,4,0,0,0,0,,0,0,0
0,2016,Tap,5,0,0,0,0,,0,0,0
0,2016,Tap,6,0,0,0,0,,0,0,0
0,2016,Tap,7,0,0,0,0,,0,0,0
0,2016,Tap,8,0,0,0,0,,0,0,0
0,2016,Tap,9,0,0,0,0,,0,0,0
0,2016,Tap,10,0,0,0,0,,0,0,0
0,2016,Mng,1,0,0,0,0,,0,0,0
0,2016,Mng,2,0,0,0,0,,0,0,0
0,2016,Mng,3,0,0,0,0,,0,0,0
0,2016,Mng,4,0,0,0,0,,0,0,0
0,2016,Mng,5,0,0,0,0,,0,0,0
